REF_DATE,GEO,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,POP
2001,"Bathurst, New Brunswick",2011S0504328,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824918,15.4.3,454.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825106,15.4.4,463.0,,,,0,34364.0
2001,"Edmundston, New Brunswick",2011S0504335,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822898,17.3.1,293.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823032,17.3.2,357.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823166,17.3.3,403.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823300,17.3.4,433.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823970,17.1.1,293.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824104,17.1.2,357.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824238,17.1.3,402.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824372,17.1.4,433.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824551,17.4.1,290.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824739,17.4.2,371.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824927,17.4.3,413.0,,,,0,23879.0
2001,"Edmundston, New Brunswick",2011S0504335,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825115,17.4.4,434.0,,,,0,23879.0
2001,"Fredericton, New Brunswick",2011S0504320,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822850,18.3.1,458.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3822984,18.3.2,515.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823118,18.3.3,613.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823252,18.3.4,743.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823654,18.2.3,836.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823788,18.2.4,801.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823922,18.1.1,458.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824056,18.1.2,515.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824190,18.1.3,607.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824324,18.1.4,740.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824458,18.4.1,483.0,,,,0,89315.0
2001,"Fredericton, New Brunswick",2011S0504320,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824646,18.4.2,532.0,,,,0,89315.0
