"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","1370","","","","0"
"2010","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","740","","","","0"
"2011","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","736","","","","0"
"2012","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","750","","","","0"
"2013","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","778","","","","0"
"2014","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","788","","","","0"
"2015","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","799","","","","0"
"2016","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","864","","","","0"
"2017","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","937","","","","0"
"2018","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","1003","","","","0"
"2019","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","1095","","","","0"
"2020","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","1144","","","","0"
"2021","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","1191","","","","0"
"2022","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","1306","","","","0"
"2023","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","1477","","","","0"
"2024","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824060","169.1.2","1509","","","","0"
"2010","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","898","","","","0"
"2011","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","922","","","","0"
"2012","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","927","","","","0"
"2013","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","970","","","","0"
"2014","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","980","","","","0"
"2015","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","1002","","","","0"
"2016","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","1066","","","","0"
"2017","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","1151","","","","0"
"2018","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","1267","","","","0"
"2019","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","1385","","","","0"
"2020","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","1391","","","","0"
"2021","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","1475","","","","0"
"2022","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","1690","","","","0"
"2023","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","1805","","","","0"
"2024","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824194","169.1.3","1935","","","","0"
"2010","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1018","","","","0"
"2011","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1061","","","","0"
"2012","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1131","","","","0"
"2013","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1173","","","","0"
"2014","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1200","","","","0"
"2015","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1049","","","","0"
"2016","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1252","","","","0"
"2017","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1269","","","","0"
"2018","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1397","","","","0"
"2019","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1564","","","","0"
"2020","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1596","","","","0"
"2021","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","1709","","","","0"
"2022","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824328","169.1.4","2188","","","","0"
