"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","114400","B","","","0"
"2004","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","114700","C","","","0"
"2005","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","118700","C","","","0"
"2006","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","115500","C","","","0"
"2007","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","122000","C","","","0"
"2008","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","113900","C","","","0"
"2009","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","120700","C","","","0"
"2010","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","116100","D","","","0"
"2011","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","122900","C","","","0"
"2012","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","111000","C","","","0"
"2013","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","110000","C","","","0"
"2014","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","127900","B","","","0"
"2015","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","121500","C","","","0"
"2016","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","126100","D","","","0"
"2017","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","125000","B","","","0"
"2018","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","131900","C","","","0"
"2019","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","136300","B","","","0"
"2020","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","139600","B","","","0"
"2021","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","144200","B","","","0"
"2022","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","152600","B","","","0"
"2023","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","145000","B","","","0"
"2000","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","154100","C","","","0"
"2001","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","135900","C","","","0"
"2002","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","135600","D","","","0"
"2003","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","138000","C","","","0"
"2004","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","120300","D","","","0"
"2005","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","134800","D","","","0"
"2006","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","134200","D","","","0"
"2007","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","151800","D","","","0"
"2008","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","145300","D","","","0"
"2009","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","150800","D","","","0"
"2010","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","147500","D","","","0"
"2011","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","133500","D","","","0"
"2012","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","147300","C","","","0"
"2013","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","153800","C","","","0"
"2014","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","157200","C","","","0"
"2015","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","128100","D","","","0"
"2016","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","152400","D","","","0"
"2017","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","171600","C","","","0"
"2018","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","180900","C","","","0"
"2019","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","171200","C","","","0"
"2020","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","186400","C","","","0"
"2021","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","188100","C","","","0"
"2022","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","185300","B","","","0"
"2023","Montréal, Quebec","2021S0503462","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429091","15.9.1.4","195800","C","","","0"
"2000","Montréal, Quebec","2021S0503462","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429151","15.10.1.4","50800","D","","","0"
"2001","Montréal, Quebec","2021S0503462","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429151","15.10.1.4","54000","C","","","0"
"2002","Montréal, Quebec","2021S0503462","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429151","15.10.1.4","46100","D","","","0"
"2003","Montréal, Quebec","2021S0503462","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429151","15.10.1.4","46800","D","","","0"
"2004","Montréal, Quebec","2021S0503462","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429151","15.10.1.4","52700","D","","","0"
"2005","Montréal, Quebec","2021S0503462","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429151","15.10.1.4","63000","D","","","0"
"2006","Montréal, Quebec","2021S0503462","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429151","15.10.1.4","63400","D","","","0"
"2007","Montréal, Quebec","2021S0503462","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429151","15.10.1.4","49900","E","","","0"
"2008","Montréal, Quebec","2021S0503462","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429151","15.10.1.4","63200","D","","","0"
